,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.013952857075304671,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.13813658852959346,0.01659145130596302,0.08617811780384856,0.01914355781836984,-0.02305918771830248,-0.0014432368811862191
dec,0.4009204546461255,1.0,-0.09838725715018265,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.19009399608062844,0.155933430475987,0.22451547076274087,-0.004938835339808007,-0.04176948326911636,-0.017584662017348103
distance,-0.013952857075304671,-0.09838725715018265,1.0,-0.07790256797749512,-0.1041023167993393,-0.1041023167993393,0.16970293363344513,-0.08133369056027966,0.08884272191980697,0.8144510997409651,0.8120840671178505,0.8230817851264066
predet_KN,0.060174139146230037,0.1755182025815601,-0.07790256797749512,1.0,0.8398966344670916,0.8398966344670916,0.3910126883734912,0.40609651080554543,0.3133933897088992,0.1465428182785364,0.13381071344286433,0.11687577834736064
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.33303899251402674,0.38627927753947505,0.2803848219515868,0.13095930210237008,0.12506541474101204,0.10558683619641393
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.33303899251402674,0.38627927753947505,0.2803848219515868,0.13095930210237008,0.12506541474101204,0.10558683619641393
phot_KN,0.13813658852959346,0.19009399608062844,0.16970293363344513,0.3910126883734912,0.33303899251402674,0.33303899251402674,1.0,0.19527282580809807,0.6491355677135682,0.4492113152929386,0.26289565200213827,0.35819070991438107
phot_KN-in-SN,0.01659145130596302,0.155933430475987,-0.08133369056027966,0.40609651080554543,0.38627927753947505,0.38627927753947505,0.19527282580809807,1.0,0.49100951548198296,0.0063466587727480685,0.19093045208562118,0.08547026515246971
phot_super-KN,0.08617811780384856,0.22451547076274087,0.08884272191980697,0.3133933897088992,0.2803848219515868,0.2803848219515868,0.6491355677135682,0.49100951548198296,1.0,0.2520368968241105,0.23220012033022194,0.33854442959457587
KN,0.01914355781836984,-0.004938835339808007,0.8144510997409651,0.1465428182785364,0.13095930210237008,0.13095930210237008,0.4492113152929386,0.0063466587727480685,0.2520368968241105,1.0,0.9254213772120369,0.961736084807732
KN-in-SN,-0.02305918771830248,-0.04176948326911636,0.8120840671178505,0.13381071344286433,0.12506541474101204,0.12506541474101204,0.26289565200213827,0.19093045208562118,0.23220012033022194,0.9254213772120369,1.0,0.9590574754117922
super-KN,-0.0014432368811862191,-0.017584662017348103,0.8230817851264066,0.11687577834736064,0.10558683619641393,0.10558683619641393,0.35819070991438107,0.08547026515246971,0.33854442959457587,0.961736084807732,0.9590574754117922,1.0
