,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.014264899859818669,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.15624974737340916,0.027657856428224523,0.08273510935300042,0.026516739837500906,-0.012857583326463543,0.0021221241741655058
dec,0.4009204546461255,1.0,-0.09837342573596405,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.26282245735351684,0.16054098628909041,0.27141369835228296,0.009583933624940762,-0.033330934876793755,0.0033602515113867024
distance,-0.014264899859818669,-0.09837342573596405,1.0,-0.07790256797749512,-0.1041023167993393,-0.1041023167993393,0.15216398431749792,-0.08145182388337327,0.0663401377455184,0.8217190338408201,0.8140266053615628,0.8141666363262897
predet_KN,0.060174139146230037,0.1755182025815601,-0.07790256797749512,1.0,0.8398966344670916,0.8398966344670916,0.3739733963117601,0.35594566693446567,0.3633220525139158,0.13010233442359392,0.13356348916360403,0.13238916880538631
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.3043017000327496,0.3973567265737105,0.3571473960404799,0.10925254707543648,0.13361874014028713,0.12944989294925072
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.3043017000327496,0.3973567265737105,0.3571473960404799,0.10925254707543648,0.13361874014028713,0.12944989294925072
phot_KN,0.15624974737340916,0.26282245735351684,0.15216398431749792,0.3739733963117601,0.3043017000327496,0.3043017000327496,1.0,0.14887775635559225,0.8121976676646091,0.4226821785176945,0.23905160654335644,0.3802204874257369
phot_KN-in-SN,0.027657856428224523,0.16054098628909041,-0.08145182388337327,0.35594566693446567,0.3973567265737105,0.3973567265737105,0.14887775635559225,1.0,0.5238281958995851,-0.02000871626396526,0.17738855383659546,0.0949006370068092
phot_super-KN,0.08273510935300042,0.27141369835228296,0.0663401377455184,0.3633220525139158,0.3571473960404799,0.3571473960404799,0.8121976676646091,0.5238281958995851,1.0,0.2899823704791237,0.24804828571773163,0.3533253619125559
KN,0.026516739837500906,0.009583933624940762,0.8217190338408201,0.13010233442359392,0.10925254707543648,0.10925254707543648,0.4226821785176945,-0.02000871626396526,0.2899823704791237,1.0,0.9247637844544864,0.9767802234047566
KN-in-SN,-0.012857583326463543,-0.033330934876793755,0.8140266053615628,0.13356348916360403,0.13361874014028713,0.13361874014028713,0.23905160654335644,0.17738855383659546,0.24804828571773163,0.9247637844544864,1.0,0.9627506742320493
super-KN,0.0021221241741655058,0.0033602515113867024,0.8141666363262897,0.13238916880538631,0.12944989294925072,0.12944989294925072,0.3802204874257369,0.0949006370068092,0.3533253619125559,0.9767802234047566,0.9627506742320493,1.0
