,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.013952857075304671,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.1374208290502192,0.021846111140193147,0.08468767485638888,0.018790946725261225,-0.02222776515656924,-0.001127469433359316
dec,0.4009204546461255,1.0,-0.09838725715018265,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.19124453794786797,0.16997921770175287,0.22364054856001925,-0.004570587752643383,-0.03830053486891576,-0.016929640405638133
distance,-0.013952857075304671,-0.09838725715018265,1.0,-0.07790256797749512,-0.1041023167993393,-0.1041023167993393,0.1699176263006054,-0.07720240544388092,0.08718322413595359,0.814058226292441,0.8132163674035596,0.8220300850528701
predet_KN,0.060174139146230037,0.1755182025815601,-0.07790256797749512,1.0,0.8398966344670916,0.8398966344670916,0.39121441464628426,0.41205413845715544,0.317533745514661,0.14663552836018673,0.1330844837487447,0.11703029094071268
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.33320836686481975,0.38385091991339526,0.28541809771946236,0.13103117929616243,0.12148954534401428,0.10569464828098946
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.33320836686481975,0.38385091991339526,0.28541809771946236,0.13103117929616243,0.12148954534401428,0.10569464828098946
phot_KN,0.1374208290502192,0.19124453794786797,0.1699176263006054,0.39121441464628426,0.33320836686481975,0.33320836686481975,1.0,0.19118059579655128,0.6498444440830259,0.4502185324672614,0.26258227016627633,0.35954641736202525
phot_KN-in-SN,0.021846111140193147,0.16997921770175287,-0.07720240544388092,0.41205413845715544,0.38385091991339526,0.38385091991339526,0.19118059579655128,1.0,0.5055752297710037,0.011917207542934913,0.1941304194529689,0.09485315891718157
phot_super-KN,0.08468767485638888,0.22364054856001925,0.08718322413595359,0.317533745514661,0.28541809771946236,0.28541809771946236,0.6498444440830259,0.5055752297710037,1.0,0.25303986852865445,0.2340938210926163,0.340011040207918
KN,0.018790946725261225,-0.004570587752643383,0.814058226292441,0.14663552836018673,0.13103117929616243,0.13103117929616243,0.4502185324672614,0.011917207542934913,0.25303986852865445,1.0,0.9251142950839103,0.9617507470647669
KN-in-SN,-0.02222776515656924,-0.03830053486891576,0.8132163674035596,0.1330844837487447,0.12148954534401428,0.12148954534401428,0.26258227016627633,0.1941304194529689,0.2340938210926163,0.9251142950839103,1.0,0.9602986855341852
super-KN,-0.001127469433359316,-0.016929640405638133,0.8220300850528701,0.11703029094071268,0.10569464828098946,0.10569464828098946,0.35954641736202525,0.09485315891718157,0.340011040207918,0.9617507470647669,0.9602986855341852,1.0
