,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.39961355009119154,-0.014263216068650266,0.06013742207660016,0.02355112187142003,0.02355112187142003,0.14029318645461886,0.01799801606659205,0.09848168994428197,0.019289262547151707,-0.02291267304930226,0.0003524565223243083
dec,0.39961355009119154,1.0,-0.10201589211879343,0.17648492437990007,0.12689058996177216,0.12689058996177216,0.18627636580050408,0.1281243041277412,0.22840690755388254,-0.00923341117045984,-0.051986805952525285,-0.02135214227433826
distance,-0.014263216068650266,-0.10201589211879343,1.0,-0.07859120126202482,-0.10450344556157884,-0.10450344556157884,0.17288671963175736,-0.0746423945478256,0.08769028363424386,0.8159938697511959,0.8143814192915284,0.8243948356061993
predet_KN,0.06013742207660016,0.17648492437990007,-0.07859120126202482,1.0,0.8399429237908594,0.8399429237908594,0.3894181865988203,0.3928511632062482,0.3159464141023258,0.14537607544783368,0.13371160993470516,0.11799527745385827
predet_KN-in-SN,0.02355112187142003,0.12689058996177216,-0.10450344556157884,0.8399429237908594,1.0,1.0,0.3316905548796314,0.3732820938010152,0.28602101202142044,0.13001699275300102,0.12580447074727502,0.10766920651923424
predet_super-KN,0.02355112187142003,0.12689058996177216,-0.10450344556157884,0.8399429237908594,1.0,1.0,0.3316905548796314,0.3732820938010152,0.28602101202142044,0.13001699275300102,0.12580447074727502,0.10766920651923424
phot_KN,0.14029318645461886,0.18627636580050408,0.17288671963175736,0.3894181865988203,0.3316905548796314,0.3316905548796314,1.0,0.19012819680697163,0.6634419490833104,0.4499272581955001,0.266039815220644,0.36315240349849026
phot_KN-in-SN,0.01799801606659205,0.1281243041277412,-0.0746423945478256,0.3928511632062482,0.3732820938010152,0.3732820938010152,0.19012819680697163,1.0,0.49343628157195196,0.012234242098150074,0.19423211058404516,0.08989252147955121
phot_super-KN,0.09848168994428197,0.22840690755388254,0.08769028363424386,0.3159464141023258,0.28602101202142044,0.28602101202142044,0.6634419490833104,0.49343628157195196,1.0,0.2552031690776196,0.23295796968926724,0.3368625583136577
KN,0.019289262547151707,-0.00923341117045984,0.8159938697511959,0.14537607544783368,0.13001699275300102,0.13001699275300102,0.4499272581955001,0.012234242098150074,0.2552031690776196,1.0,0.9267513029045767,0.9634235332814343
KN-in-SN,-0.02291267304930226,-0.051986805952525285,0.8143814192915284,0.13371160993470516,0.12580447074727502,0.12580447074727502,0.266039815220644,0.19423211058404516,0.23295796968926724,0.9267513029045767,1.0,0.9602214515845322
super-KN,0.0003524565223243083,-0.02135214227433826,0.8243948356061993,0.11799527745385827,0.10766920651923424,0.10766920651923424,0.36315240349849026,0.08989252147955121,0.3368625583136577,0.9634235332814343,0.9602214515845322,1.0
