,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.013952857075304671,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.14090545090271134,0.020765499021880466,0.09205660075951262,0.01927472679304695,-0.022467725393863124,-0.0015316112484267121
dec,0.4009204546461255,1.0,-0.09838725715018265,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.19433764019149496,0.1421306887331744,0.2328197109983307,-0.004741069257550357,-0.04591250658702433,-0.01867914943398278
distance,-0.013952857075304671,-0.09838725715018265,1.0,-0.07790256797749512,-0.1041023167993393,-0.1041023167993393,0.17306384229279978,-0.08052781325008594,0.08920161210994894,0.8144504993134181,0.8122030099316657,0.8240133522531218
predet_KN,0.060174139146230037,0.1755182025815601,-0.07790256797749512,1.0,0.8398966344670916,0.8398966344670916,0.39061330554692014,0.40169423411926375,0.3105519351669346,0.1465428194386419,0.1372718692421863,0.11347643040461684
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.33270370696697965,0.383017472906566,0.2771356464368033,0.13095930313910872,0.12952176962495826,0.10170549612614646
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.33270370696697965,0.383017472906566,0.2771356464368033,0.13095930313910872,0.12952176962495826,0.10170549612614646
phot_KN,0.14090545090271134,0.19433764019149496,0.17306384229279978,0.39061330554692014,0.33270370696697965,0.33270370696697965,1.0,0.19745997489607198,0.6535925276316183,0.45211514277296777,0.2698258735954055,0.3611262609887186
phot_KN-in-SN,0.020765499021880466,0.1421306887331744,-0.08052781325008594,0.40169423411926375,0.383017472906566,0.383017472906566,0.19745997489607198,1.0,0.48369214511768227,0.01256981009084641,0.19345353829741804,0.08540226532073285
phot_super-KN,0.09205660075951262,0.2328197109983307,0.08920161210994894,0.3105519351669346,0.2771356464368033,0.2771356464368033,0.6535925276316183,0.48369214511768227,1.0,0.2484773801280828,0.22859969733766167,0.3323831847170706
KN,0.01927472679304695,-0.004741069257550357,0.8144504993134181,0.1465428194386419,0.13095930313910872,0.13095930313910872,0.45211514277296777,0.01256981009084641,0.2484773801280828,1.0,0.9273923141346295,0.9620085503212957
KN-in-SN,-0.022467725393863124,-0.04591250658702433,0.8122030099316657,0.1372718692421863,0.12952176962495826,0.12952176962495826,0.2698258735954055,0.19345353829741804,0.22859969733766167,0.9273923141346295,1.0,0.9595821762584187
super-KN,-0.0015316112484267121,-0.01867914943398278,0.8240133522531218,0.11347643040461684,0.10170549612614646,0.10170549612614646,0.3611262609887186,0.08540226532073285,0.3323831847170706,0.9620085503212957,0.9595821762584187,1.0
