,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.013952857075304671,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.13654621338303635,0.009092401136163678,0.08328930607931724,0.018599384609108115,-0.021128309390134416,0.0023231821771829164
dec,0.4009204546461255,1.0,-0.09838725715018265,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.18822811613364918,0.1287550389494813,0.21932546223249602,-0.007107425728832099,-0.04167167673118795,-0.012866952528115486
distance,-0.013952857075304671,-0.09838725715018265,1.0,-0.07790256797749512,-0.1041023167993393,-0.1041023167993393,0.17454478731480727,-0.10268347341152269,0.06756821594331962,0.8163625833659766,0.8130711715045115,0.8200927893253808
predet_KN,0.060174139146230037,0.1755182025815601,-0.07790256797749512,1.0,0.8398966344670916,0.8398966344670916,0.3860446407508952,0.3446575889666238,0.3229394400743116,0.13986773529719385,0.12818633804965976,0.12515782765215092
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.32314275459289243,0.38287878554886684,0.3261560233808157,0.12240597872991338,0.12441852564972404,0.12104032189147042
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.32314275459289243,0.38287878554886684,0.3261560233808157,0.12240597872991338,0.12441852564972404,0.12104032189147042
phot_KN,0.13654621338303635,0.18822811613364918,0.17454478731480727,0.3860446407508952,0.32314275459289243,0.32314275459289243,1.0,0.08031059272409274,0.6222725248839674,0.4493276099660961,0.2480935559015293,0.3582262368629266
phot_KN-in-SN,0.009092401136163678,0.1287550389494813,-0.10268347341152269,0.3446575889666238,0.38287878554886684,0.38287878554886684,0.08031059272409274,1.0,0.552809752534796,-0.05017653600620191,0.15771525623643406,0.0773873994869651
phot_super-KN,0.08328930607931724,0.21932546223249602,0.06756821594331962,0.3229394400743116,0.3261560233808157,0.3261560233808157,0.6222725248839674,0.552809752534796,1.0,0.22735594494059694,0.2328847606250277,0.3248744367279064
KN,0.018599384609108115,-0.007107425728832099,0.8163625833659766,0.13986773529719385,0.12240597872991338,0.12240597872991338,0.4493276099660961,-0.05017653600620191,0.22735594494059694,1.0,0.9169878863692902,0.9597302463815918
KN-in-SN,-0.021128309390134416,-0.04167167673118795,0.8130711715045115,0.12818633804965976,0.12441852564972404,0.12441852564972404,0.2480935559015293,0.15771525623643406,0.2328847606250277,0.9169878863692902,1.0,0.9665415987114733
super-KN,0.0023231821771829164,-0.012866952528115486,0.8200927893253808,0.12515782765215092,0.12104032189147042,0.12104032189147042,0.3582262368629266,0.0773873994869651,0.3248744367279064,0.9597302463815918,0.9665415987114733,1.0
