,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.40451704163845836,-0.00744083179880596,0.06660005527371861,0.023826737205198914,0.023826737205198914,0.14572815388205781,0.012344226934134422,0.08230725812188942,0.027226122315990375,-0.013085518036112876,0.007014244154515531
dec,0.40451704163845836,1.0,-0.08375344176928161,0.1805267097536155,0.12307742183926887,0.12307742183926887,0.23104167278838353,0.13552262249038957,0.24712875566899092,0.009866565988063,-0.030311872828030065,0.003364539808061119
distance,-0.00744083179880596,-0.08375344176928161,1.0,-0.06803104573815925,-0.10357129337665168,-0.10357129337665168,0.17052721110637067,-0.09031422593907429,0.07755398556786477,0.8162760795860583,0.8129751861435208,0.8169305060544592
predet_KN,0.06660005527371861,0.1805267097536155,-0.06803104573815925,1.0,0.8276315392676131,0.8276315392676131,0.38775991907080365,0.3380581895359305,0.3268480416646459,0.14056284094899055,0.13143060111160035,0.13018105554533108
predet_KN-in-SN,0.023826737205198914,0.12307742183926887,-0.10357129337665168,0.8276315392676131,1.0,1.0,0.31685194677198286,0.3797565855654595,0.3378580200235487,0.11760937443777014,0.12397362728925747,0.12354307284648607
predet_super-KN,0.023826737205198914,0.12307742183926887,-0.10357129337665168,0.8276315392676131,1.0,1.0,0.31685194677198286,0.3797565855654595,0.3378580200235487,0.11760937443777014,0.12397362728925747,0.12354307284648607
phot_KN,0.14572815388205781,0.23104167278838353,0.17052721110637067,0.38775991907080365,0.31685194677198286,0.31685194677198286,1.0,0.0887706362654754,0.6829452725921661,0.44122676841821235,0.24444182995789343,0.3662982017204514
phot_KN-in-SN,0.012344226934134422,0.13552262249038957,-0.09031422593907429,0.3380581895359305,0.3797565855654595,0.3797565855654595,0.0887706362654754,1.0,0.5348624793394776,-0.04877814652578226,0.15816596905846428,0.07708729533920504
phot_super-KN,0.08230725812188942,0.24712875566899092,0.07755398556786477,0.3268480416646459,0.3378580200235487,0.3378580200235487,0.6829452725921661,0.5348624793394776,1.0,0.2489584078257619,0.23938519443780268,0.3357531375655578
KN,0.027226122315990375,0.009866565988063,0.8162760795860583,0.14056284094899055,0.11760937443777014,0.11760937443777014,0.44122676841821235,-0.04877814652578226,0.2489584078257619,1.0,0.9187358425994632,0.965140511830047
KN-in-SN,-0.013085518036112876,-0.030311872828030065,0.8129751861435208,0.13143060111160035,0.12397362728925747,0.12397362728925747,0.24444182995789343,0.15816596905846428,0.23938519443780268,0.9187358425994632,1.0,0.9655120605902918
super-KN,0.007014244154515531,0.003364539808061119,0.8169305060544592,0.13018105554533108,0.12354307284648607,0.12354307284648607,0.3662982017204514,0.07708729533920504,0.3357531375655578,0.965140511830047,0.9655120605902918,1.0
