,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4005794113337581,-0.014011475853719776,0.060134160540738606,0.023597909623755665,0.023597909623755665,0.13945332281035575,0.01807874247970847,0.0898993436651634,0.01905029221520517,-0.023417288833910407,-0.0013898101630573855
dec,0.4005794113337581,1.0,-0.09554977618090409,0.1757459389341894,0.12613046830812868,0.12613046830812868,0.19334289253123846,0.14855776874435356,0.2311501162384188,-0.0024404946989725522,-0.042285363079988834,-0.015321700528378435
distance,-0.014011475853719776,-0.09554977618090409,1.0,-0.07727578272140356,-0.10354906939261878,-0.10354906939261878,0.17300466230960743,-0.07995219997963113,0.0897719102145805,0.8150424523563304,0.8128813948076252,0.8239748989380261
predet_KN,0.060134160540738606,0.1757459389341894,-0.07727578272140356,1.0,0.8399082473594657,0.8399082473594657,0.3908072273380105,0.40389827436662523,0.31194017722612166,0.14685037258057057,0.1359754226978573,0.11555211519548989
predet_KN-in-SN,0.023597909623755665,0.12613046830812868,-0.10354906939261878,0.8399082473594657,1.0,1.0,0.3328639891736854,0.38457940390450013,0.2787200359088842,0.13120610975835734,0.12763624057488276,0.10395671356985996
predet_super-KN,0.023597909623755665,0.12613046830812868,-0.10354906939261878,0.8399082473594657,1.0,1.0,0.3328639891736854,0.38457940390450013,0.2787200359088842,0.13120610975835734,0.12763624057488276,0.10395671356985996
phot_KN,0.13945332281035575,0.19334289253123846,0.17300466230960743,0.3908072273380105,0.3328639891736854,0.3328639891736854,1.0,0.1988972430887964,0.651305800429594,0.4515636736803935,0.2686856601735503,0.36073492513665273
phot_KN-in-SN,0.01807874247970847,0.14855776874435356,-0.07995219997963113,0.40389827436662523,0.38457940390450013,0.38457940390450013,0.1988972430887964,1.0,0.48859906227844474,0.011350094601708754,0.19238288653504948,0.0864697308569266
phot_super-KN,0.0898993436651634,0.2311501162384188,0.0897719102145805,0.31194017722612166,0.2787200359088842,0.2787200359088842,0.651305800429594,0.48859906227844474,1.0,0.25066606915288786,0.2315482008076007,0.3360309288950135
KN,0.01905029221520517,-0.0024404946989725522,0.8150424523563304,0.14685037258057057,0.13120610975835734,0.13120610975835734,0.4515636736803935,0.011350094601708754,0.25066606915288786,1.0,0.9272315739246983,0.9619037755560467
KN-in-SN,-0.023417288833910407,-0.042285363079988834,0.8128813948076252,0.1359754226978573,0.12763624057488276,0.12763624057488276,0.2686856601735503,0.19238288653504948,0.2315482008076007,0.9272315739246983,1.0,0.9596947939890554
super-KN,-0.0013898101630573855,-0.015321700528378435,0.8239748989380261,0.11555211519548989,0.10395671356985996,0.10395671356985996,0.36073492513665273,0.0864697308569266,0.3360309288950135,0.9619037755560467,0.9596947939890554,1.0
