,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.013952857075304671,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.13813658852959346,0.017719666564291758,0.08444591053234667,0.019143557969919723,-0.021991035607112144,-0.0019267636586391423
dec,0.4009204546461255,1.0,-0.09838725715018265,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.19009399608062844,0.15911768337952897,0.22222676552098314,-0.0049388353789062735,-0.03974706545671209,-0.01818156885976463
distance,-0.013952857075304671,-0.09838725715018265,1.0,-0.07790256797749512,-0.1041023167993393,-0.1041023167993393,0.16970293363344513,-0.07955943765159015,0.09151400809034418,0.814451107482646,0.81180177028355,0.8233522723023804
predet_KN,0.060174139146230037,0.1755182025815601,-0.07790256797749512,1.0,0.8398966344670916,0.8398966344670916,0.3910126883734912,0.4060654380172172,0.31359112791237853,0.1465428194386419,0.13362529549824706,0.1168757788099839
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.33303899251402674,0.3863013421264993,0.2805274788628537,0.13095930313910872,0.12492166237967671,0.10558683661435275
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.33303899251402674,0.3863013421264993,0.2805274788628537,0.13095930313910872,0.12492166237967671,0.10558683661435275
phot_KN,0.13813658852959346,0.19009399608062844,0.16970293363344513,0.3910126883734912,0.33303899251402674,0.33303899251402674,1.0,0.19173036577228278,0.6503115893426537,0.44921131884911775,0.26087473390587035,0.3582705048165698
phot_KN-in-SN,0.017719666564291758,0.15911768337952897,-0.07955943765159015,0.4060654380172172,0.3863013421264993,0.3863013421264993,0.19173036577228278,1.0,0.4896825498457143,0.005733445527959821,0.19318442773312353,0.08640747668488064
phot_super-KN,0.08444591053234667,0.22222676552098314,0.09151400809034418,0.31359112791237853,0.2805274788628537,0.2805274788628537,0.6503115893426537,0.4896825498457143,1.0,0.2543782550939861,0.23330959428563022,0.3403020038175177
KN,0.019143557969919723,-0.0049388353789062735,0.814451107482646,0.1465428194386419,0.13095930313910872,0.13095930313910872,0.44921131884911775,0.005733445527959821,0.2543782550939861,1.0,0.9242053232285924,0.9618854329904795
KN-in-SN,-0.021991035607112144,-0.03974706545671209,0.81180177028355,0.13362529549824706,0.12492166237967671,0.12492166237967671,0.26087473390587035,0.19318442773312353,0.23330959428563022,0.9242053232285924,1.0,0.958558225124346
super-KN,-0.0019267636586391423,-0.01818156885976463,0.8233522723023804,0.1168757788099839,0.10558683661435275,0.10558683661435275,0.3582705048165698,0.08640747668488064,0.3403020038175177,0.9618854329904795,0.958558225124346,1.0
