,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.013952857075304671,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.13300479536345194,0.017323782163124784,0.08803856783474402,0.018377815651122932,-0.020211140514908896,0.0015671888925374755
dec,0.4009204546461255,1.0,-0.09838725715018265,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.1875678909321797,0.1331276439311819,0.22208120807182619,-0.0042572892641438535,-0.04498824750514328,-0.014866897248306307
distance,-0.013952857075304671,-0.09838725715018265,1.0,-0.07790256797749512,-0.1041023167993393,-0.1041023167993393,0.16605456940569605,-0.09507057606386231,0.07757809680853879,0.8136638324171127,0.8154358855049441,0.8212175983124058
predet_KN,0.060174139146230037,0.1755182025815601,-0.07790256797749512,1.0,0.8398966344670916,0.8398966344670916,0.39246910042091465,0.3401323298192379,0.3253935383715847,0.14672823844257102,0.1206459652232092,0.1213258349042826
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.3342729434183766,0.377141136978389,0.3151104664108358,0.13110305649052378,0.11507455780774592,0.11593707791623621
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.3342729434183766,0.377141136978389,0.3151104664108358,0.13110305649052378,0.11507455780774592,0.11593707791623621
phot_KN,0.13300479536345194,0.1875678909321797,0.16605456940569605,0.39246910042091465,0.3342729434183766,0.3342729434183766,1.0,0.08064316390114354,0.6300749196887995,0.44728382942121064,0.23937372598187662,0.3519833359819635
phot_KN-in-SN,0.017323782163124784,0.1331276439311819,-0.09507057606386231,0.3401323298192379,0.377141136978389,0.377141136978389,0.08064316390114354,1.0,0.5456186504982653,-0.04253895195714514,0.16136856792714385,0.08110626511773955
phot_super-KN,0.08803856783474402,0.22208120807182619,0.07757809680853879,0.3253935383715847,0.3151104664108358,0.3151104664108358,0.6300749196887995,0.5456186504982653,1.0,0.2363561620163793,0.23539597827645112,0.3303032065352908
KN,0.018377815651122932,-0.0042572892641438535,0.8136638324171127,0.14672823844257102,0.13110305649052378,0.13110305649052378,0.44728382942121064,-0.04253895195714514,0.2363561620163793,1.0,0.916423598603049,0.9589023709965968
KN-in-SN,-0.020211140514908896,-0.04498824750514328,0.8154358855049441,0.1206459652232092,0.11507455780774592,0.11507455780774592,0.23937372598187662,0.16136856792714385,0.23539597827645112,0.916423598603049,1.0,0.9664156947744039
super-KN,0.0015671888925374755,-0.014866897248306307,0.8212175983124058,0.1213258349042826,0.11593707791623621,0.11593707791623621,0.3519833359819635,0.08110626511773955,0.3303032065352908,0.9589023709965968,0.9664156947744039,1.0
