,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.029405738622294023,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.16899337721816554,0.01041079593153144,0.06973919876511422,0.020329901476388954,-0.02809203182335898,-0.011812031066439752
dec,0.4009204546461255,1.0,-0.11833778021522057,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.27522687581395644,0.14467336021354216,0.2603615709549892,-0.0032592160665454594,-0.05132043510269352,-0.013935041516437199
distance,-0.029405738622294023,-0.11833778021522057,1.0,-0.11169751025753548,-0.09992511919370099,-0.09992511919370099,0.11694390158239629,-0.058017556260245906,0.05621838703119926,0.8223428634263519,0.8158257219800363,0.8162710538971756
predet_KN,0.060174139146230037,0.1755182025815601,-0.11169751025753548,1.0,0.8398966344670916,0.8398966344670916,0.38085455503393845,0.3340974901757801,0.3684171044329963,0.11761745482570035,0.10086793813743719,0.1148979761014067
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.09992511919370099,0.8398966344670916,1.0,1.0,0.30856556467391455,0.3897937810456448,0.3602271446824493,0.11040257388675687,0.1362781771414655,0.1332593567617495
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.09992511919370099,0.8398966344670916,1.0,1.0,0.30856556467391455,0.3897937810456448,0.3602271446824493,0.11040257388675687,0.1362781771414655,0.1332593567617495
phot_KN,0.16899337721816554,0.27522687581395644,0.11694390158239629,0.38085455503393845,0.30856556467391455,0.30856556467391455,1.0,0.19521292959123368,0.8166737029717723,0.4014287170821335,0.2186795891269166,0.3602980271908879
phot_KN-in-SN,0.01041079593153144,0.14467336021354216,-0.058017556260245906,0.3340974901757801,0.3897937810456448,0.3897937810456448,0.19521292959123368,1.0,0.5470201364390985,0.0027804417427204874,0.1970754242325628,0.1143856599078101
phot_super-KN,0.06973919876511422,0.2603615709549892,0.05621838703119926,0.3684171044329963,0.3602271446824493,0.3602271446824493,0.8166737029717723,0.5470201364390985,1.0,0.2808696813009942,0.2390468830439788,0.3477322883418538
KN,0.020329901476388954,-0.0032592160665454594,0.8223428634263519,0.11761745482570035,0.11040257388675687,0.11040257388675687,0.4014287170821335,0.0027804417427204874,0.2808696813009942,1.0,0.925680451247817,0.9760584923852185
KN-in-SN,-0.02809203182335898,-0.05132043510269352,0.8158257219800363,0.10086793813743719,0.1362781771414655,0.1362781771414655,0.2186795891269166,0.1970754242325628,0.2390468830439788,0.925680451247817,1.0,0.9614087966572885
super-KN,-0.011812031066439752,-0.013935041516437199,0.8162710538971756,0.1148979761014067,0.1332593567617495,0.1332593567617495,0.3602980271908879,0.1143856599078101,0.3477322883418538,0.9760584923852185,0.9614087966572885,1.0
