,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.013952857075304671,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.14064519427179334,0.018304503597056994,0.09879360092245133,0.01922167685396364,-0.022909090758169603,0.00029918139869656283
dec,0.4009204546461255,1.0,-0.09838725715018265,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.18595702474102088,0.12897259102328754,0.22716216888320587,-0.0064432252982090914,-0.048810122114137974,-0.018889196806152732
distance,-0.013952857075304671,-0.09838725715018265,1.0,-0.07790256797749512,-0.1041023167993393,-0.1041023167993393,0.178027124380414,-0.07112276697042401,0.09295118380705165,0.815108234333406,0.8134263423336127,0.8236239719049505
predet_KN,0.060174139146230037,0.1755182025815601,-0.07790256797749512,1.0,0.8398966344670916,0.8398966344670916,0.38983071801435254,0.3936121912279744,0.31607178957523474,0.1463574004347128,0.13473780952182174,0.1188535815185611
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.3320469033570436,0.37398940456700774,0.2861931966311807,0.1308155497876937,0.12664670259665728,0.10839002696694619
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.3320469033570436,0.37398940456700774,0.2861931966311807,0.1308155497876937,0.12664670259665728,0.10839002696694619
phot_KN,0.14064519427179334,0.18595702474102088,0.178027124380414,0.38983071801435254,0.3320469033570436,0.3320469033570436,1.0,0.18790013890894894,0.6624494629366119,0.4555018310285496,0.2709713612158423,0.3685989107466527
phot_KN-in-SN,0.018304503597056994,0.12897259102328754,-0.07112276697042401,0.3936121912279744,0.37398940456700774,0.37398940456700774,0.18790013890894894,1.0,0.49217843049005255,0.016168954903567522,0.1985907223961272,0.09426444504987429
phot_super-KN,0.09879360092245133,0.22716216888320587,0.09295118380705165,0.31607178957523474,0.2861931966311807,0.2861931966311807,0.6624494629366119,0.49217843049005255,1.0,0.26062505989554113,0.23825372620354401,0.342633844652633
KN,0.01922167685396364,-0.0064432252982090914,0.815108234333406,0.1463574004347128,0.1308155497876937,0.1308155497876937,0.4555018310285496,0.016168954903567522,0.26062505989554113,1.0,0.926574571863282,0.963370187467669
KN-in-SN,-0.022909090758169603,-0.048810122114137974,0.8134263423336127,0.13473780952182174,0.12664670259665728,0.12664670259665728,0.2709713612158423,0.1985907223961272,0.23825372620354401,0.926574571863282,1.0,0.9601316443459506
super-KN,0.00029918139869656283,-0.018889196806152732,0.8236239719049505,0.1188535815185611,0.10839002696694619,0.10839002696694619,0.3685989107466527,0.09426444504987429,0.342633844652633,0.963370187467669,0.9601316443459506,1.0
