,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.013952857075304671,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.13813658852959346,0.01544883875706987,0.08791100962579744,0.019143557969919723,-0.02413734245040632,-0.0009597101151586738
dec,0.4009204546461255,1.0,-0.09838725715018265,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.19009399608062844,0.1527325632435992,0.22680545267005803,-0.0049388353789062735,-0.04381215947615794,-0.016987755314140467
distance,-0.013952857075304671,-0.09838725715018265,1.0,-0.07790256797749512,-0.1041023167993393,-0.1041023167993393,0.16970293363344513,-0.08310766482727898,0.08617127100387406,0.814451107482646,0.8123673676655092,0.8228113057741518
predet_KN,0.060174139146230037,0.1755182025815601,-0.07790256797749512,1.0,0.8398966344670916,0.8398966344670916,0.3910126883734912,0.40614887057229515,0.31319666059871454,0.1465428194386419,0.13399613350610529,0.1168757788099839
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.33303899251402674,0.38628115683686226,0.28024307565425205,0.13095930313910872,0.12520916908250682,0.10558683661435275
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.33303899251402674,0.38628115683686226,0.28024307565425205,0.13095930313910872,0.12520916908250682,0.10558683661435275
phot_KN,0.13813658852959346,0.19009399608062844,0.16970293363344513,0.3910126883734912,0.33303899251402674,0.33303899251402674,1.0,0.1988397843182507,0.6479614616003511,0.44921131884911775,0.264935207447953,0.3581109178478073
phot_KN-in-SN,0.01544883875706987,0.1527325632435992,-0.08310766482727898,0.40614887057229515,0.38628115683686226,0.38628115683686226,0.1988397843182507,1.0,0.4923503340966005,0.0069803461003852384,0.18867123014277162,0.08453938182665618
phot_super-KN,0.08791100962579744,0.22680545267005803,0.08617127100387406,0.31319666059871454,0.28024307565425205,0.28024307565425205,0.6479614616003511,0.4923503340966005,1.0,0.24969585684054332,0.23108539812812293,0.3367813728495438
KN,0.019143557969919723,-0.0049388353789062735,0.814451107482646,0.1465428194386419,0.13095930313910872,0.13095930313910872,0.44921131884911775,0.0069803461003852384,0.24969585684054332,1.0,0.9266476569454641,0.9615867594657215
KN-in-SN,-0.02413734245040632,-0.04381215947615794,0.8123673676655092,0.13399613350610529,0.12520916908250682,0.12520916908250682,0.264935207447953,0.18867123014277162,0.23108539812812293,0.9266476569454641,1.0,0.9595548168515706
super-KN,-0.0009597101151586738,-0.016987755314140467,0.8228113057741518,0.1168757788099839,0.10558683661435275,0.10558683661435275,0.3581109178478073,0.08453938182665618,0.3367813728495438,0.9615867594657215,0.9595548168515706,1.0
