,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.029551500449059204,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.1609744749583976,0.06916825344685847,0.09468640176865212,0.015252174013534254,-0.017908595903526885,-0.0017650816247265267
dec,0.4009204546461255,1.0,-0.11831756507136262,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.2577793267201864,0.19323571429121042,0.25682100251205764,-0.019629363736656375,-0.04580843248218786,-0.011485754949452429
distance,-0.029551500449059204,-0.11831756507136262,1.0,-0.11169751025753548,-0.09992511919370099,-0.09992511919370099,0.09492328509123987,-0.04252448109899036,0.04853113003052163,0.8412763878297388,0.8269994631621745,0.8288242749305275
predet_KN,0.060174139146230037,0.1755182025815601,-0.11169751025753548,1.0,0.8398966344670916,0.8398966344670916,0.44307239916662394,0.3336024089710641,0.33566547350609177,0.11854454984534592,0.08399480877988795,0.10488534988923463
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.09992511919370099,0.8398966344670916,1.0,1.0,0.37259153853085725,0.3978694757715276,0.35906616265242614,0.11212761410373744,0.12075281518864033,0.12405914227118643
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.09992511919370099,0.8398966344670916,1.0,1.0,0.37259153853085725,0.3978694757715276,0.35906616265242614,0.11212761410373744,0.12075281518864033,0.12405914227118643
phot_KN,0.1609744749583976,0.2577793267201864,0.09492328509123987,0.44307239916662394,0.37259153853085725,0.37259153853085725,1.0,0.2966943387693711,0.8265485860862418,0.3483241951460889,0.2129331151052834,0.33985539078788085
phot_KN-in-SN,0.06916825344685847,0.19323571429121042,-0.04252448109899036,0.3336024089710641,0.3978694757715276,0.3978694757715276,0.2966943387693711,1.0,0.6202638876111556,0.0261293124298329,0.1946411834761595,0.13204271594262756
phot_super-KN,0.09468640176865212,0.25682100251205764,0.04853113003052163,0.33566547350609177,0.35906616265242614,0.35906616265242614,0.8265485860862418,0.6202638876111556,1.0,0.2419071561417918,0.2250974166256551,0.32307147155937266
KN,0.015252174013534254,-0.019629363736656375,0.8412763878297388,0.11854454984534592,0.11212761410373744,0.11212761410373744,0.3483241951460889,0.0261293124298329,0.2419071561417918,1.0,0.9427428413351998,0.9806166202316734
KN-in-SN,-0.017908595903526885,-0.04580843248218786,0.8269994631621745,0.08399480877988795,0.12075281518864033,0.12075281518864033,0.2129331151052834,0.1946411834761595,0.2250974166256551,0.9427428413351998,1.0,0.9681094447205718
super-KN,-0.0017650816247265267,-0.011485754949452429,0.8288242749305275,0.10488534988923463,0.12405914227118643,0.12405914227118643,0.33985539078788085,0.13204271594262756,0.32307147155937266,0.9806166202316734,0.9681094447205718,1.0
