,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.03540264464421306,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.07987154073928043,0.05197895547802089,0.08530121340583466,-0.010779772943895073,-0.018961998035205006,-0.015426643741593443
dec,0.4009204546461255,1.0,-0.1322242161035634,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.21163326833627003,0.08915675136571993,0.18401379877490381,-0.03739843450206916,-0.06253587592340402,-0.04535744469456317
distance,-0.03540264464421306,-0.1322242161035634,1.0,-0.11462408257869361,-0.0977955674731795,-0.0977955674731795,-0.04656488119964742,-0.10430551926271873,-0.059159976058913905,0.8382855636091697,0.8488906665632093,0.836619636051609
predet_KN,0.060174139146230037,0.1755182025815601,-0.11462408257869361,1.0,0.8398966344670916,0.8398966344670916,0.6185488000914824,0.6492673454756731,0.5279405210610694,0.13306903848645973,0.09079350559062208,0.1132292050660447
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.0977955674731795,0.8398966344670916,1.0,1.0,0.5232880133983872,0.6742386640803594,0.5198988803015564,0.13110305649052378,0.11852463824170707,0.13038428973344854
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.0977955674731795,0.8398966344670916,1.0,1.0,0.5232880133983872,0.6742386640803594,0.5198988803015564,0.13110305649052378,0.11852463824170707,0.13038428973344854
phot_KN,0.07987154073928043,0.21163326833627003,-0.04656488119964742,0.6185488000914824,0.5232880133983872,0.5232880133983872,1.0,0.6207006890798208,0.9478293656935196,0.2162782945168366,0.12258846959566949,0.20812790079255747
phot_KN-in-SN,0.05197895547802089,0.08915675136571993,-0.10430551926271873,0.6492673454756731,0.6742386640803594,0.6742386640803594,0.6207006890798208,1.0,0.6934961770741561,0.12449743330698068,0.1512658463351534,0.1477603378113606
phot_super-KN,0.08530121340583466,0.18401379877490381,-0.059159976058913905,0.5279405210610694,0.5198988803015564,0.5198988803015564,0.9478293656935196,0.6934961770741561,1.0,0.19586272379094047,0.12688379147786116,0.2106682881294486
KN,-0.010779772943895073,-0.03739843450206916,0.8382855636091697,0.13306903848645973,0.13110305649052378,0.13110305649052378,0.2162782945168366,0.12449743330698068,0.19586272379094047,1.0,0.9799074289402739,0.9957812047968133
KN-in-SN,-0.018961998035205006,-0.06253587592340402,0.8488906665632093,0.09079350559062208,0.11852463824170707,0.11852463824170707,0.12258846959566949,0.1512658463351534,0.12688379147786116,0.9799074289402739,1.0,0.985556893126557
super-KN,-0.015426643741593443,-0.04535744469456317,0.836619636051609,0.1132292050660447,0.13038428973344854,0.13038428973344854,0.20812790079255747,0.1477603378113606,0.2106682881294486,0.9957812047968133,0.985556893126557,1.0
