,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.013952857075304671,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.1359182609395644,0.03225319697070667,0.0879181673158447,0.01843833562936117,-0.017646384868105564,-0.00048580576673665324
dec,0.4009204546461255,1.0,-0.09838725715018265,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.19138144360494955,0.13838687155439278,0.2212905658534216,-0.004202340162563528,-0.048327228396563414,-0.01700940576660645
distance,-0.013952857075304671,-0.09838725715018265,1.0,-0.07790256797749512,-0.1041023167993393,-0.1041023167993393,0.16978801446713906,-0.07041758474545451,0.08862394432686929,0.8136653528401825,0.8187276014510231,0.8226332642326802
predet_KN,0.060174139146230037,0.1755182025815601,-0.07790256797749512,1.0,0.8398966344670916,0.8398966344670916,0.3920585164173722,0.366702615041887,0.311570536308023,0.14672823844257102,0.11774106749498643,0.11372365574318899
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.3339281248079157,0.35473503279567564,0.2877942548297416,0.13110305649052378,0.10644935672284304,0.10673686342567314
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.3339281248079157,0.35473503279567564,0.2877942548297416,0.13110305649052378,0.10644935672284304,0.10673686342567314
phot_KN,0.1359182609395644,0.19138144360494955,0.16978801446713906,0.3920585164173722,0.3339281248079157,0.3339281248079157,1.0,0.09501381619801688,0.6336484254418612,0.4504839703074163,0.23848773056941178,0.35305650304352587
phot_KN-in-SN,0.03225319697070667,0.13838687155439278,-0.07041758474545451,0.366702615041887,0.35473503279567564,0.35473503279567564,0.09501381619801688,1.0,0.5469461505844478,-0.030224091592205186,0.17471070351371268,0.09439478079387169
phot_super-KN,0.0879181673158447,0.2212905658534216,0.08862394432686929,0.311570536308023,0.2877942548297416,0.2877942548297416,0.6336484254418612,0.5469461505844478,1.0,0.24141231187083012,0.23744299524957602,0.3331886576305672
KN,0.01843833562936117,-0.004202340162563528,0.8136653528401825,0.14672823844257102,0.13110305649052378,0.13110305649052378,0.4504839703074163,-0.030224091592205186,0.24141231187083012,1.0,0.9151064204928037,0.9587896401072692
KN-in-SN,-0.017646384868105564,-0.048327228396563414,0.8187276014510231,0.11774106749498643,0.10644935672284304,0.10644935672284304,0.23848773056941178,0.17471070351371268,0.23744299524957602,0.9151064204928037,1.0,0.9664823199966358
super-KN,-0.00048580576673665324,-0.01700940576660645,0.8226332642326802,0.11372365574318899,0.10673686342567314,0.10673686342567314,0.35305650304352587,0.09439478079387169,0.3331886576305672,0.9587896401072692,0.9664823199966358,1.0
