,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.41787422305612487,-0.03776529326253402,0.06993091185692908,0.025084159594596037,0.025084159594596037,0.12229729227126909,0.01949663580117955,0.050823309145112155,-0.007535427618104369,-0.037530197831465766,-0.031226066227452887
dec,0.41787422305612487,1.0,-0.12545961733746078,0.16391210930175698,0.10639186208128903,0.10639186208128903,0.2128068913392454,0.12407577669933577,0.1903021865868826,-0.030184970222935023,-0.0595171823008515,-0.03886171221242102
distance,-0.03776529326253402,-0.12545961733746078,1.0,-0.10157583067057617,-0.08770746127929381,-0.08770746127929381,0.06908207570781189,-0.06422362843251178,0.03464719704048378,0.8334536206434843,0.8324876861921882,0.8284082968684258
predet_KN,0.06993091185692908,0.16391210930175698,-0.10157583067057617,1.0,0.8349262069379138,0.8349262069379138,0.4207901624912233,0.3779464542249436,0.3230862619666021,0.11872873121617333,0.09619527436810799,0.099258128812796
predet_KN-in-SN,0.025084159594596037,0.10639186208128903,-0.08770746127929381,0.8349262069379138,1.0,1.0,0.3512148034473255,0.43505362705063255,0.3405818681624602,0.11736181554854143,0.12691768040074172,0.12353319652113282
predet_super-KN,0.025084159594596037,0.10639186208128903,-0.08770746127929381,0.8349262069379138,1.0,1.0,0.3512148034473255,0.43505362705063255,0.3405818681624602,0.11736181554854143,0.12691768040074172,0.12353319652113282
phot_KN,0.12229729227126909,0.2128068913392454,0.06908207570781189,0.4207901624912233,0.3512148034473255,0.3512148034473255,1.0,0.3544123535171842,0.8506367310281807,0.3264832660136562,0.1851143576690404,0.30134168665287875
phot_KN-in-SN,0.01949663580117955,0.12407577669933577,-0.06422362843251178,0.3779464542249436,0.43505362705063255,0.43505362705063255,0.3544123535171842,1.0,0.6378979103448077,0.04620195073582923,0.17980923301776203,0.1355033894567444
phot_super-KN,0.050823309145112155,0.1903021865868826,0.03464719704048378,0.3230862619666021,0.3405818681624602,0.3405818681624602,0.8506367310281807,0.6378979103448077,1.0,0.2424678778744643,0.20386466379983265,0.29898986215179296
KN,-0.007535427618104369,-0.030184970222935023,0.8334536206434843,0.11872873121617333,0.11736181554854143,0.11736181554854143,0.3264832660136562,0.04620195073582923,0.2424678778744643,1.0,0.9485137424335878,0.9828564915335711
KN-in-SN,-0.037530197831465766,-0.0595171823008515,0.8324876861921882,0.09619527436810799,0.12691768040074172,0.12691768040074172,0.1851143576690404,0.17980923301776203,0.20386466379983265,0.9485137424335878,1.0,0.9729885179003543
super-KN,-0.031226066227452887,-0.03886171221242102,0.8284082968684258,0.099258128812796,0.12353319652113282,0.12353319652113282,0.30134168665287875,0.1355033894567444,0.29898986215179296,0.9828564915335711,0.9729885179003543,1.0
