,0,1
0,5.0,-0.06422362843251178
1,15.0,-0.09031422593907429
2,25.0,-0.08944521378730576
3,35.0,-0.07252011352799345
4,45.0,-0.07720240544388092
5,55.0,-0.08133369056027966
6,65.0,-0.07995219997963113
7,80.0,-0.08052781325008594
8,95.0,-0.0746423945478256
